PO_ID,Supplier,Material,Category,Quantity,Unit_Price_USD,Total_Spend_USD,Purchase_Date,Lead_Time_Days,Delivery_Date,On_Time,Facility,Country
PO-10602,Apex Pharma Materials,Glass Vials,Packaging,890,5.81,5170.9,2024-01-21,19,2024-02-10,Yes,Facility E - Singapore,Switzerland
PO-10132,BioSupply Partners,Active Pharmaceutical Ingredient (API),Raw Materials,884,433.13,382886.92,2024-01-21,24,2024-02-13,Yes,Facility E - Singapore,Germany
PO-10640,Meridian Chem Group,Stainless Steel Components,Manufacturing Consumables,864,219.85,189950.4,2024-01-21,34,2024-02-22,Yes,Facility C - Puerto Rico,China
PO-10940,MedSource Industries,Glass Vials,Packaging,1600,5.43,8688.0,2024-01-22,12,2024-02-05,Yes,Facility E - Singapore,USA
PO-10819,NovaChem Ltd,Filtration Media,Manufacturing Consumables,1835,48.31,88648.85,2024-01-22,31,2024-02-24,Yes,"Facility B - Indianapolis, IN",China
PO-10274,Apex Pharma Materials,Packaging Film,Packaging,3290,19.26,63365.4,2024-01-23,6,2024-01-28,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-11097,PharmaCorp Global,Glass Vials,Packaging,591,5.07,2996.37,2024-01-23,12,2024-02-04,Yes,Facility C - Puerto Rico,USA
PO-10894,Meridian Chem Group,Blister Packs,Packaging,1010,5.51,5565.1,2024-01-24,8,2024-02-16,No,Facility C - Puerto Rico,China
PO-10643,PharmaCorp Global,Stainless Steel Components,Manufacturing Consumables,618,279.43,172687.74,2024-01-24,40,2024-03-03,Yes,Facility E - Singapore,USA
PO-10704,MedSource Industries,Active Pharmaceutical Ingredient (API),Raw Materials,992,407.44,404180.48,2024-01-24,35,2024-03-01,Yes,Facility E - Singapore,USA
PO-10881,Apex Pharma Materials,Lab Reagents,Lab Supplies,1574,158.69,249778.06,2024-01-24,16,2024-02-11,Yes,"Facility D - Cork, Ireland",Switzerland
PO-10966,PurePharm Supply Co,Active Pharmaceutical Ingredient (API),Raw Materials,299,451.87,135109.13,2024-01-24,35,2024-02-28,Yes,Facility E - Singapore,USA
PO-10399,ChemPro Solutions,Lab Reagents,Lab Supplies,1691,102.74,173733.34,2024-01-25,18,2024-02-10,Yes,"Facility B - Indianapolis, IN",India
PO-10588,NovaChem Ltd,Active Pharmaceutical Ingredient (API),Raw Materials,2017,317.95,641305.15,2024-01-26,53,2024-03-19,Yes,"Facility A - New Brunswick, NJ",China
PO-11108,NovaChem Ltd,Sterile Syringes,Medical Devices,677,2.32,1570.64,2024-01-27,19,2024-02-14,Yes,Facility C - Puerto Rico,China
PO-10566,PharmaCorp Global,Sterile Syringes,Medical Devices,1510,3.59,5420.9,2024-01-27,30,2024-02-26,Yes,"Facility A - New Brunswick, NJ",USA
PO-10584,BioSupply Partners,Cold Chain Packaging,Packaging,1102,26.78,29511.56,2024-01-29,9,2024-02-05,Yes,"Facility B - Indianapolis, IN",Germany
PO-10441,Meridian Chem Group,Blister Packs,Packaging,654,6.58,4303.32,2024-01-29,7,2024-02-03,Yes,Facility C - Puerto Rico,China
PO-11149,Meridian Chem Group,Filtration Media,Manufacturing Consumables,1581,57.86,91476.66,2024-01-30,20,2024-02-20,Yes,Facility E - Singapore,China
PO-10125,NovaChem Ltd,Filtration Media,Manufacturing Consumables,1928,55.5,107004.0,2024-01-31,23,2024-02-22,Yes,"Facility D - Cork, Ireland",China
PO-11179,Apex Pharma Materials,Active Pharmaceutical Ingredient (API),Raw Materials,2647,579.86,1534889.42,2024-01-31,26,2024-02-27,Yes,Facility E - Singapore,Switzerland
PO-10728,Vertex Bio Supply,Packaging Film,Packaging,3102,12.24,37968.48,2024-01-31,9,2024-02-21,No,"Facility B - Indianapolis, IN",India
PO-10931,Apex Pharma Materials,Packaging Film,Packaging,1357,19.8,26868.6,2024-02-01,8,2024-02-10,Yes,Facility E - Singapore,Switzerland
PO-10092,GlobalMed Ingredients,Packaging Film,Packaging,1170,17.13,20042.1,2024-02-01,15,2024-02-16,Yes,"Facility B - Indianapolis, IN",Ireland
PO-10772,BioSupply Partners,Lab Reagents,Lab Supplies,2191,137.36,300955.76,2024-02-01,14,2024-02-15,Yes,Facility E - Singapore,Germany
PO-10803,ChemPro Solutions,Active Pharmaceutical Ingredient (API),Raw Materials,2017,384.79,776121.43,2024-02-02,33,2024-03-05,Yes,"Facility D - Cork, Ireland",India
PO-10321,NovaChem Ltd,Active Pharmaceutical Ingredient (API),Raw Materials,2670,311.9,832773.0,2024-02-02,42,2024-03-13,Yes,Facility C - Puerto Rico,China
PO-11052,GlobalMed Ingredients,Cold Chain Packaging,Packaging,409,20.33,8314.97,2024-02-04,8,2024-02-12,Yes,"Facility D - Cork, Ireland",Ireland
PO-10835,GlobalMed Ingredients,Lab Reagents,Lab Supplies,1741,138.57,241250.37,2024-02-05,14,2024-02-17,Yes,"Facility D - Cork, Ireland",Ireland
PO-10026,ChemPro Solutions,Packaging Film,Packaging,1321,13.38,17674.98,2024-02-06,10,2024-03-06,No,Facility E - Singapore,India
PO-10567,MedSource Industries,Stainless Steel Components,Manufacturing Consumables,3827,258.05,987557.35,2024-02-07,40,2024-03-16,Yes,Facility C - Puerto Rico,USA
PO-10337,NovaChem Ltd,Stainless Steel Components,Manufacturing Consumables,886,208.82,185014.52,2024-02-07,47,2024-03-27,Yes,Facility E - Singapore,China
PO-10049,NovaChem Ltd,Packaging Film,Packaging,1680,12.62,21201.6,2024-02-08,13,2024-02-23,Yes,Facility E - Singapore,China
PO-11073,PurePharm Supply Co,Lab Reagents,Lab Supplies,1112,136.57,151865.84,2024-02-08,10,2024-02-19,Yes,Facility C - Puerto Rico,USA
PO-10045,BioSupply Partners,Cold Chain Packaging,Packaging,330,26.72,8817.6,2024-02-08,14,2024-02-21,Yes,"Facility B - Indianapolis, IN",Germany
PO-10115,GlobalMed Ingredients,Excipients,Raw Materials,2034,88.91,180842.94,2024-02-08,32,2024-03-09,Yes,"Facility B - Indianapolis, IN",Ireland
PO-10331,Vertex Bio Supply,Sterile Syringes,Medical Devices,4567,2.24,10230.08,2024-02-08,22,2024-03-02,Yes,"Facility A - New Brunswick, NJ",India
PO-10307,ChemPro Solutions,Sterile Syringes,Medical Devices,1344,2.62,3521.28,2024-02-09,23,2024-03-04,Yes,"Facility B - Indianapolis, IN",India
PO-10965,Vertex Bio Supply,Lab Reagents,Lab Supplies,2140,106.35,227589.0,2024-02-09,17,2024-02-26,Yes,Facility C - Puerto Rico,India
PO-10102,NovaChem Ltd,Excipients,Raw Materials,1725,65.67,113280.75,2024-02-10,22,2024-03-02,Yes,"Facility D - Cork, Ireland",China
PO-11162,NovaChem Ltd,Glass Vials,Packaging,1028,4.25,4369.0,2024-02-10,16,2024-02-28,Yes,"Facility A - New Brunswick, NJ",China
PO-10054,PurePharm Supply Co,Sterile Syringes,Medical Devices,1176,3.32,3904.32,2024-02-10,13,2024-02-23,Yes,"Facility A - New Brunswick, NJ",USA
PO-10556,ChemPro Solutions,Excipients,Raw Materials,3576,54.54,195035.04,2024-02-11,18,2024-02-28,Yes,Facility C - Puerto Rico,India
PO-10702,GlobalMed Ingredients,Excipients,Raw Materials,142,83.69,11883.98,2024-02-12,13,2024-02-24,Yes,Facility E - Singapore,Ireland
PO-10109,BioSupply Partners,Lab Reagents,Lab Supplies,961,128.79,123767.19,2024-02-13,20,2024-03-05,Yes,Facility C - Puerto Rico,Germany
PO-10289,BioSupply Partners,Cold Chain Packaging,Packaging,3107,23.1,71771.7,2024-02-14,14,2024-02-29,Yes,Facility C - Puerto Rico,Germany
PO-10932,BioSupply Partners,Cold Chain Packaging,Packaging,1302,22.71,29568.42,2024-02-15,11,2024-02-28,Yes,Facility E - Singapore,Germany
PO-10770,PharmaCorp Global,Active Pharmaceutical Ingredient (API),Raw Materials,866,406.05,351639.3,2024-02-15,54,2024-04-07,Yes,Facility C - Puerto Rico,USA
PO-10968,Apex Pharma Materials,Cold Chain Packaging,Packaging,2717,27.68,75206.56,2024-02-16,22,2024-03-07,Yes,Facility C - Puerto Rico,Switzerland
PO-10850,Apex Pharma Materials,Stainless Steel Components,Manufacturing Consumables,2375,343.05,814743.75,2024-02-18,30,2024-03-19,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-11197,Meridian Chem Group,Blister Packs,Packaging,1763,7.02,12376.26,2024-02-18,12,2024-02-29,Yes,"Facility D - Cork, Ireland",China
PO-10520,Meridian Chem Group,Packaging Film,Packaging,3586,11.14,39948.04,2024-02-18,10,2024-03-04,No,"Facility D - Cork, Ireland",China
PO-11188,PurePharm Supply Co,Sterile Syringes,Medical Devices,652,3.35,2184.2,2024-02-19,28,2024-03-20,Yes,"Facility B - Indianapolis, IN",USA
PO-10156,PurePharm Supply Co,Cold Chain Packaging,Packaging,2832,24.89,70488.48,2024-02-22,18,2024-03-09,Yes,"Facility B - Indianapolis, IN",USA
PO-11160,GlobalMed Ingredients,Excipients,Raw Materials,1486,86.65,128761.9,2024-02-22,18,2024-03-09,Yes,"Facility A - New Brunswick, NJ",Ireland
PO-10275,ChemPro Solutions,Stainless Steel Components,Manufacturing Consumables,4774,237.35,1133108.9,2024-02-22,42,2024-04-10,No,Facility E - Singapore,India
PO-10063,PurePharm Supply Co,Active Pharmaceutical Ingredient (API),Raw Materials,234,555.99,130101.66,2024-02-22,44,2024-04-06,Yes,Facility C - Puerto Rico,USA
PO-10861,PharmaCorp Global,Cold Chain Packaging,Packaging,907,20.27,18384.89,2024-02-23,14,2024-03-08,Yes,"Facility A - New Brunswick, NJ",USA
PO-10418,BioSupply Partners,Blister Packs,Packaging,983,10.11,9938.13,2024-02-23,10,2024-03-02,Yes,Facility C - Puerto Rico,Germany
PO-10184,Apex Pharma Materials,Packaging Film,Packaging,832,18.57,15450.24,2024-02-25,8,2024-03-04,Yes,"Facility A - New Brunswick, NJ",Switzerland
PO-10804,Vertex Bio Supply,Cold Chain Packaging,Packaging,587,15.56,9133.72,2024-02-25,13,2024-03-09,Yes,Facility E - Singapore,India
PO-10513,PharmaCorp Global,Active Pharmaceutical Ingredient (API),Raw Materials,794,492.74,391235.56,2024-02-25,37,2024-04-02,Yes,"Facility D - Cork, Ireland",USA
PO-10577,BioSupply Partners,Sterile Syringes,Medical Devices,1506,3.32,4999.92,2024-02-26,15,2024-03-14,Yes,Facility C - Puerto Rico,Germany
PO-11035,Vertex Bio Supply,Sterile Syringes,Medical Devices,504,2.1,1058.4,2024-02-26,15,2024-03-11,Yes,Facility C - Puerto Rico,India
PO-10258,BioSupply Partners,Filtration Media,Manufacturing Consumables,1467,63.81,93609.27,2024-02-28,24,2024-04-11,No,Facility E - Singapore,Germany
PO-10043,PharmaCorp Global,Filtration Media,Manufacturing Consumables,2380,76.49,182046.2,2024-03-02,30,2024-03-30,Yes,Facility E - Singapore,USA
PO-10775,Vertex Bio Supply,Glass Vials,Packaging,566,4.35,2462.1,2024-03-03,16,2024-03-17,Yes,"Facility D - Cork, Ireland",India
PO-11079,PurePharm Supply Co,Packaging Film,Packaging,1739,15.39,26763.21,2024-03-05,13,2024-03-19,Yes,"Facility B - Indianapolis, IN",USA
PO-10717,ChemPro Solutions,Sterile Syringes,Medical Devices,1543,2.28,3518.04,2024-03-05,25,2024-04-01,Yes,"Facility A - New Brunswick, NJ",India
PO-10269,BioSupply Partners,Excipients,Raw Materials,2579,76.54,197396.66,2024-03-05,22,2024-03-29,Yes,"Facility A - New Brunswick, NJ",Germany
PO-11006,Apex Pharma Materials,Filtration Media,Manufacturing Consumables,392,65.74,25770.08,2024-03-05,11,2024-03-20,No,Facility E - Singapore,Switzerland
PO-10980,Apex Pharma Materials,Lab Reagents,Lab Supplies,901,153.55,138348.55,2024-03-07,17,2024-03-26,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-11168,BioSupply Partners,Packaging Film,Packaging,1439,14.58,20980.62,2024-03-08,11,2024-03-20,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10605,ChemPro Solutions,Filtration Media,Manufacturing Consumables,611,58.87,35969.57,2024-03-09,26,2024-04-15,No,"Facility A - New Brunswick, NJ",India
PO-10478,PurePharm Supply Co,Filtration Media,Manufacturing Consumables,478,72.09,34459.02,2024-03-10,12,2024-03-22,Yes,"Facility B - Indianapolis, IN",USA
PO-10617,PharmaCorp Global,Filtration Media,Manufacturing Consumables,2412,61.65,148699.8,2024-03-12,28,2024-04-08,Yes,Facility E - Singapore,USA
PO-11070,ChemPro Solutions,Blister Packs,Packaging,1057,5.54,5855.78,2024-03-12,13,2024-03-26,Yes,Facility C - Puerto Rico,India
PO-10059,BioSupply Partners,Glass Vials,Packaging,2211,5.36,11850.96,2024-03-12,10,2024-03-21,Yes,"Facility B - Indianapolis, IN",Germany
PO-10592,PurePharm Supply Co,Lab Reagents,Lab Supplies,1434,122.86,176181.24,2024-03-13,15,2024-03-28,Yes,Facility E - Singapore,USA
PO-10140,PurePharm Supply Co,Packaging Film,Packaging,2086,16.66,34752.76,2024-03-13,10,2024-03-22,Yes,"Facility D - Cork, Ireland",USA
PO-10066,Apex Pharma Materials,Cold Chain Packaging,Packaging,2321,24.01,55727.21,2024-03-13,12,2024-03-23,Yes,Facility C - Puerto Rico,Switzerland
PO-11171,Apex Pharma Materials,Packaging Film,Packaging,1045,17.98,18789.1,2024-03-13,10,2024-03-22,Yes,"Facility A - New Brunswick, NJ",Switzerland
PO-10212,BioSupply Partners,Blister Packs,Packaging,816,8.91,7270.56,2024-03-14,8,2024-03-23,Yes,"Facility B - Indianapolis, IN",Germany
PO-10724,BioSupply Partners,Active Pharmaceutical Ingredient (API),Raw Materials,1354,578.4,783153.6,2024-03-15,33,2024-04-16,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10587,Apex Pharma Materials,Cold Chain Packaging,Packaging,511,26.37,13475.07,2024-03-16,5,2024-03-23,Yes,"Facility A - New Brunswick, NJ",Switzerland
PO-10468,PharmaCorp Global,Packaging Film,Packaging,2161,14.31,30923.91,2024-03-16,13,2024-03-30,Yes,"Facility D - Cork, Ireland",USA
PO-10809,PurePharm Supply Co,Excipients,Raw Materials,6346,98.44,624700.24,2024-03-17,22,2024-04-08,Yes,Facility C - Puerto Rico,USA
PO-10936,ChemPro Solutions,Glass Vials,Packaging,1482,4.04,5987.28,2024-03-18,20,2024-04-06,Yes,"Facility B - Indianapolis, IN",India
PO-11173,PurePharm Supply Co,Sterile Syringes,Medical Devices,990,2.95,2920.5,2024-03-18,21,2024-04-06,Yes,"Facility B - Indianapolis, IN",USA
PO-10210,PharmaCorp Global,Lab Reagents,Lab Supplies,3033,122.59,371815.47,2024-03-18,20,2024-04-05,Yes,"Facility B - Indianapolis, IN",USA
PO-10557,BioSupply Partners,Blister Packs,Packaging,1186,9.55,11326.3,2024-03-18,11,2024-03-29,Yes,Facility C - Puerto Rico,Germany
PO-10182,NovaChem Ltd,Cold Chain Packaging,Packaging,666,16.53,11008.98,2024-03-19,15,2024-04-17,No,"Facility D - Cork, Ireland",China
PO-10552,MedSource Industries,Filtration Media,Manufacturing Consumables,1265,67.85,85830.25,2024-03-20,36,2024-04-26,Yes,"Facility D - Cork, Ireland",USA
PO-10866,GlobalMed Ingredients,Sterile Syringes,Medical Devices,2355,3.5,8242.5,2024-03-20,20,2024-04-10,Yes,"Facility B - Indianapolis, IN",Ireland
PO-11063,MedSource Industries,Sterile Syringes,Medical Devices,2560,2.51,6425.6,2024-03-21,23,2024-04-13,Yes,"Facility A - New Brunswick, NJ",USA
PO-10062,Vertex Bio Supply,Lab Reagents,Lab Supplies,2442,99.1,242002.2,2024-03-21,17,2024-04-13,No,"Facility B - Indianapolis, IN",India
PO-10379,GlobalMed Ingredients,Filtration Media,Manufacturing Consumables,3593,56.67,203615.31,2024-03-22,27,2024-04-16,Yes,"Facility D - Cork, Ireland",Ireland
PO-11055,Apex Pharma Materials,Packaging Film,Packaging,891,14.83,13213.53,2024-03-23,11,2024-04-04,Yes,"Facility A - New Brunswick, NJ",Switzerland
PO-10503,NovaChem Ltd,Active Pharmaceutical Ingredient (API),Raw Materials,839,341.31,286359.09,2024-03-23,37,2024-05-01,Yes,Facility C - Puerto Rico,China
PO-10235,PharmaCorp Global,Cold Chain Packaging,Packaging,956,20.52,19617.12,2024-03-23,13,2024-04-10,No,"Facility B - Indianapolis, IN",USA
PO-10393,Meridian Chem Group,Glass Vials,Packaging,1880,3.82,7181.6,2024-03-23,22,2024-04-14,Yes,Facility C - Puerto Rico,China
PO-10591,Vertex Bio Supply,Cold Chain Packaging,Packaging,1551,16.34,25343.34,2024-03-24,12,2024-04-07,Yes,"Facility A - New Brunswick, NJ",India
PO-10526,ChemPro Solutions,Lab Reagents,Lab Supplies,253,106.21,26871.13,2024-03-24,24,2024-04-30,No,Facility E - Singapore,India
PO-10874,BioSupply Partners,Sterile Syringes,Medical Devices,1791,3.76,6734.16,2024-03-25,22,2024-04-15,Yes,"Facility B - Indianapolis, IN",Germany
PO-10309,Apex Pharma Materials,Cold Chain Packaging,Packaging,750,23.22,17415.0,2024-03-25,14,2024-04-08,Yes,Facility C - Puerto Rico,Switzerland
PO-10220,Apex Pharma Materials,Blister Packs,Packaging,921,9.62,8860.02,2024-03-26,18,2024-04-14,Yes,Facility C - Puerto Rico,Switzerland
PO-10376,Meridian Chem Group,Filtration Media,Manufacturing Consumables,340,57.93,19696.2,2024-03-26,16,2024-04-19,No,"Facility B - Indianapolis, IN",China
PO-10751,MedSource Industries,Filtration Media,Manufacturing Consumables,1452,68.74,99810.48,2024-03-26,30,2024-04-23,Yes,Facility E - Singapore,USA
PO-11177,NovaChem Ltd,Cold Chain Packaging,Packaging,2438,17.33,42250.54,2024-03-26,17,2024-04-30,No,"Facility D - Cork, Ireland",China
PO-10868,Meridian Chem Group,Packaging Film,Packaging,1661,13.37,22207.57,2024-03-26,10,2024-04-07,Yes,Facility C - Puerto Rico,China
PO-10069,BioSupply Partners,Cold Chain Packaging,Packaging,684,27.16,18577.44,2024-03-26,16,2024-04-12,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10849,PharmaCorp Global,Packaging Film,Packaging,4064,14.5,58928.0,2024-03-26,15,2024-04-10,Yes,Facility E - Singapore,USA
PO-11158,PharmaCorp Global,Sterile Syringes,Medical Devices,293,2.81,823.33,2024-03-27,20,2024-04-16,Yes,"Facility B - Indianapolis, IN",USA
PO-10000,GlobalMed Ingredients,Glass Vials,Packaging,483,4.42,2134.86,2024-03-28,16,2024-04-13,Yes,Facility E - Singapore,Ireland
PO-10139,ChemPro Solutions,Sterile Syringes,Medical Devices,140,2.14,299.6,2024-03-30,24,2024-04-24,Yes,"Facility A - New Brunswick, NJ",India
PO-11092,PurePharm Supply Co,Active Pharmaceutical Ingredient (API),Raw Materials,903,501.5,452854.5,2024-04-01,57,2024-06-05,No,"Facility A - New Brunswick, NJ",USA
PO-11124,PurePharm Supply Co,Active Pharmaceutical Ingredient (API),Raw Materials,1621,415.14,672941.94,2024-04-01,48,2024-05-17,Yes,"Facility A - New Brunswick, NJ",USA
PO-10124,PharmaCorp Global,Lab Reagents,Lab Supplies,1370,139.92,191690.4,2024-04-01,21,2024-04-21,Yes,"Facility D - Cork, Ireland",USA
PO-10042,Meridian Chem Group,Blister Packs,Packaging,2263,6.08,13759.04,2024-04-05,13,2024-04-20,Yes,"Facility D - Cork, Ireland",China
PO-10096,BioSupply Partners,Active Pharmaceutical Ingredient (API),Raw Materials,1493,537.39,802323.27,2024-04-05,45,2024-05-21,Yes,"Facility D - Cork, Ireland",Germany
PO-10011,Meridian Chem Group,Sterile Syringes,Medical Devices,355,2.32,823.6,2024-04-05,18,2024-04-25,Yes,Facility E - Singapore,China
PO-10435,NovaChem Ltd,Stainless Steel Components,Manufacturing Consumables,2466,232.12,572407.92,2024-04-05,41,2024-05-17,Yes,"Facility D - Cork, Ireland",China
PO-10498,NovaChem Ltd,Active Pharmaceutical Ingredient (API),Raw Materials,575,380.92,219029.0,2024-04-06,33,2024-05-09,Yes,Facility C - Puerto Rico,China
PO-11064,PurePharm Supply Co,Filtration Media,Manufacturing Consumables,959,77.11,73948.49,2024-04-06,18,2024-04-22,Yes,"Facility A - New Brunswick, NJ",USA
PO-10911,PurePharm Supply Co,Blister Packs,Packaging,1417,8.78,12441.26,2024-04-07,13,2024-04-19,Yes,"Facility D - Cork, Ireland",USA
PO-10388,PharmaCorp Global,Cold Chain Packaging,Packaging,2995,19.81,59330.95,2024-04-07,13,2024-04-21,Yes,"Facility A - New Brunswick, NJ",USA
PO-10261,PurePharm Supply Co,Packaging Film,Packaging,1697,17.57,29816.29,2024-04-08,9,2024-04-15,Yes,"Facility B - Indianapolis, IN",USA
PO-10718,GlobalMed Ingredients,Active Pharmaceutical Ingredient (API),Raw Materials,740,420.36,311066.4,2024-04-08,45,2024-05-21,Yes,"Facility A - New Brunswick, NJ",Ireland
PO-10624,MedSource Industries,Blister Packs,Packaging,3688,8.99,33155.12,2024-04-08,12,2024-04-22,Yes,Facility C - Puerto Rico,USA
PO-10614,MedSource Industries,Filtration Media,Manufacturing Consumables,3195,57.1,182434.5,2024-04-09,22,2024-05-03,Yes,"Facility D - Cork, Ireland",USA
PO-10178,ChemPro Solutions,Excipients,Raw Materials,2397,73.45,176059.65,2024-04-10,20,2024-05-01,Yes,"Facility A - New Brunswick, NJ",India
PO-10630,MedSource Industries,Stainless Steel Components,Manufacturing Consumables,1284,332.13,426454.92,2024-04-10,17,2024-04-28,Yes,"Facility B - Indianapolis, IN",USA
PO-10669,PurePharm Supply Co,Active Pharmaceutical Ingredient (API),Raw Materials,1868,558.8,1043838.4,2024-04-12,38,2024-05-19,Yes,"Facility B - Indianapolis, IN",USA
PO-10676,GlobalMed Ingredients,Sterile Syringes,Medical Devices,2150,3.31,7116.5,2024-04-12,20,2024-05-15,No,"Facility D - Cork, Ireland",Ireland
